"Day","Cash On Hand"
11,21159
12,3093
13,4009
14,109183
15,149558
16,916950
17,332762
18,138523
19,372446
20,430466
21,398359
22,304098
23,107729
24,122464
25,55296
26,70338
27,129027
28,414530
29,483114
30,463938
31,13459
32,81332
33,299825
34,2647855
35,5083760
36,5542317
37,8163301
38,8725121
39,10423953
40,11259551
41,12249217
42,15621293
43,18635774
44,30225289
45,38304638
46,39102978
47,41202125
48,43598352
49,45911599
50,48827453
51,51373400
52,59304255
53,64727280
54,70095786
55,71570919
56,73863917
57,75704119
58,77725369
59,82085188
60,84967197
61,87368545
62,89876190
63,92716184
64,95604542
65,106863161
66,109561718
67,112952216
68,115861391
69,119115967
70,130835453
71,139285401
72,150751991
73,152053323
74,154796467
75,156510281
76,157846155
77,159852256
78,163475438
79,166704858
80,167255432
81,168961686
82,168335777
83,170344537
84,177748090
85,185170572
86,185245393
87,186267527
88,190451455
89,192755080
90,195418240
